Season,Name ,Prom,Money_Spent,Pts,Gl_Scored,Gl_Conc,Survival
92/93,Ipswich Town,1,0.75,52,50,55,1
92/93,Middlesbrough,2,3.18,44,54,75,0
92/93,Blackburn,3,11.84,71,68,46,1
93/94,Newcastle,1,6.6,77,82,41,1
93/94,West Ham,2,2.01,52,47,58,1
93/94,Swindon Town,3,1.75,30,47,100,0
94/95,Crystal Palace,1,1.75,45,34,49,0
94/95,Forest,2,6.7,77,72,43,1
94/95,Leicester,3,3.7,29,45,80,0
95/96,Middlesbrough,1,13,43,35,50,1
95/96,Bolton,3,9.49,29,39,71,0
96/97,Sunderland,1,7.43,40,35,53,0
96/97,Derby,2,3.79,46,45,58,1
96/97,Leicester,3,8.94,47,46,54,1
97/98,Bolton,1,14.21,40,41,61,0
97/98,Barnsley,2,6.93,35,37,82,0
97/98,Crystal Palace,3,15.5,33,37,71,0
98/99,Forest,1,8.8,30,35,69,0
98/99,Middlesbrough,2,12.08,51,48,54,1
98/99,Charlton,3,6.19,36,41,56,0
99/00,Sunderland,1,16.7,58,57,56,1
99/00,Bradford,2,2.69,36,38,68,1
99/00,Watford,3,4.4,24,35,77,0
00/01,Charlton,1,20.8,52,50,57,1
00/01,Man City,2,20.28,34,41,65,0
00/01,Ipswich Town,3,9.6,66,57,42,1
01/02,Fulham,1,50.6,44,36,44,1
01/02,Blackburn,2,33.01,46,55,51,1
01/02,Bolton,3,3.13,40,44,62,1
02/03,Man City,1,44.54,51,47,54,1
02/03,West Brom,2,16.95,26,29,65,0
02/03,Birmingham,3,15.68,48,41,49,1
03/04,Portsmouth,1,11.78,45,47,54,1
03/04,Leicester,2,1.14,33,48,65,0
03/04,Wolves,3,9.88,33,38,77,0
04/05,Norwich,1,8.53,33,42,77,0
04/05,West Brom,2,15.85,34,36,61,1
04/05,Crystal Palace,3,5.15,33,41,62,0
05/06,Sunderland,1,5.93,15,26,69,0
05/06,Wigan,2,15.77,51,45,52,1
05/06,West Ham,3,21.59,55,52,55,1
06/07,Reading,1,9.23,55,52,47,1
06/07,Sheff Utd,2,18.03,38,32,55,0
06/07,Watford,3,10.48,28,29,59,0
07/08,Sunderland,1,64.32,39,36,59,1
07/08,Birmingham,2,29.3,35,46,62,0
07/08,Derby,3,22.68,11,20,89,0
08/09,West Brom,1,24.32,32,36,67,0
08/09,Stoke,2,33.95,45,38,55,1
08/09,Hull,3,17.95,35,39,64,1
09/10,Wolves,1,19.45,38,32,56,1
09/10,Birmingham,2,20.05,50,38,47,1
09/10,Burnley,3,13.54,30,42,82,0
10/11,Newcastle,1,13.98,46,56,57,1
10/11,West Brom,2,13.83,47,56,71,1
10/11,Blackpool,3,5.73,39,55,78,0
11/12,QPR,1,26.23,37,43,66,1
11/12,Norwich,2,15.25,47,52,66,1
11/12,Swansea,3,12.85,47,44,51,1
12/13,Reading,1,10.82,28,43,73,0
12/13,Southampton,2,41.5,41,49,60,1
12/13,West Ham,3,23.9,46,45,53,1
13/14,Cardiff,1,45.82,30,32,74,0
13/14,Hull,2,31.1,37,38,53,1
13/14,Crystal Palace,3,33,45,33,48,1
14/15,Leicester,1,22.86,41,46,55,1
14/15,Burnley,2,12.62,33,28,53,0
14/15,QPR,3,43.54,30,42,73,0
15/16,Bournemouth,1,55.11,42,45,67,1
15/16,Watford,2,82.8,45,40,50,1
15/16,Norwich,3,50.5,34,39,67,0
16/17,Burnley,1,45.6,40,39,55,1
16/17,Middlesbrough,2,47.95,28,27,53,0
16/17,Hull,3,40,34,37,80,0
17/18,Newcastle,1,46.5,44,39,47,1
17/18,Brighton,2,66.5,40,34,54,1
17/18,Huddersfield,3,56.75,37,28,58,1
18/19,Wolves,1,112.75,57,47,46,1
18/19,Cardiff,2,51.2,34,34,69,0
18/19,Fulham,3,116.5,26,34,81,0
19/20,Norwich,1,8.82,21,26,75,0
19/20,Sheff Utd,2,72.5,54,39,39,1
19/20,Villa,3,159.5,35,41,67,1
20/21,Leeds,1,127.8,59,62,54,1
20/21,West Brom,2,42.14,26,35,76,0
20/21,Fulham,3,37.25,28,27,53,0
21/22,Norwich,1,63.55,22,23,84,0
21/22,Watford,2,43.5,23,34,77,0
21/22,Brentford,3,38.2,46,48,53,1
22/23,Fulham,1,72.2,52,55,53,1
22/23,Bournemouth,2,83.1,39,37,71,1
22/23,Forest,3,195.25,38,38,68,1
